Types de métiers recherchés,Expérience professionnelle,Compétences,Formation,Compétences clés,Langues,Plus d'informations
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet non renseigné"," DÉVELOPPEMENT WEB, NOTAMMENT AVEC SPRING BOOT ET REACTJS", Niveau d'études : Bac+5 et plus GENIE LOGICIEL/MIAGE HIGHTECH Depuis 10.2024, development web SpringBoot JAVASCRIPT REACT, Anglais Courant Français Maternelle, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Fès - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : RABAT Types de contrats acceptés : CDI - CDD - Intérim - Stage - Freelance - Anapec - Alternance - Temps partiel - Statutaire
" Commercial, vente Gestion, comptabilité, finance Informatique, nouvelles technologies Secrétariat, assistanat"," Expérience dans les secteurs d´activité suivants : Centres d´appel, hotline, call center Distribution, vente, commerce de gros Import, export Informatique, SSII, Internet Marketing, communication, médias Chargée de Gestion des Commandes et Service Client cuisine mall casablanca Depuis 10.2024 Validation et suivi des commandes via un système dédié. Gestion des appels téléphoniques et des messages WhatsApp avec les clients. Coordination des livraisons et support client pour assurer un service fluide. Wordpress freelancer | web developer freelance 05.2023 - 01.2025 Création de sites web sur mesure avec WordPress : thèmes personnalisés, optimisation de performances et intégration de plugins. Sites responsives, adaptés aux besoins clients, livrés dans les délais. Développeuse Web Full Stack Digiplus service de marketing 05.2024 - 09.2024 projet de fin d'étude: une plateforme moderne de réservation facilitant la recherche d'hébergements. Les utilisateurs peuvent créer leurs hôtels, ajouter des chambres, et les visiteurs réserver et payer en ligne, avec informations détaillées et avis clients. Technologies et outils utilisés : Le projet utilise HTML, CSS, JavaScript, Next.js, Tailwind CSS, MySQL, diverses bibliothèques front-end, des outils d'authentification et un système de paiement intégré. Développeuse Web Full-stack Ecomus Magazin store 04.2023 - 06.2023 Projet de fin d'études : création d'un site de vente en ligne pour la vente de produits électroniques . Amélioration de l'expérience utilisateur . Implémentation de fonctionnalités back-end pour la gestion des commandes, l'authentification et l'interaction avec la base de données."," Développement web Full Stack (WordPress, Next.js, JavaScript, PHP) 🔹 Création et optimisation de sites web responsives 🔹 Intégration de systèmes de paiement et d’authentification 🔹 Gestion des commandes et support client (WhatsApp, appels téléphoniques) 🔹 Expérience en e-commerce et marketing digital 🔹 Gestion de bases de données (MySQL) 🔹 UI/UX design et optimisation des performances web", Niveau d'études : Bac+3 Licence Professionnelle En Génie Logiciel École Supérieure En Ingénierie ESTEM 10.2023 - 10.2024 Technicien Spécialisé Développement Full-stack Centre De Formation Professionnelle De L'ofppt 09.2021 - 09.2023, Service Clients Management des Achats Conception Assistée par Ordinateur Assistanat Assistance Administrative Gestion Bureautique Gestion Commerciale Gestion des Appels Web Content WORDPRESS Informatique Bureautique Client Management, Anglais Bon niveau Arabe Maternelle Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Freelance - Anapec
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet formateur Ofppt 08.2009 - 08.2009 Formateur TIC a l'ISIM Enseignant Faculte des lettres de Mohammedia 09.2010 - 05.2011 Enseignant TIC Ingénieur Systèmes BO Maghreb 05.2011 - 02.2021 IT management, gestion projets clients, suivi, analyses données(excel/vba), gestion du siteweb... En Freelance formations [vba, python et web(html,css,js,php, design de BD(mysql), wordpress)] et création de sites web(e-commerce principalement). Freelance CPF Depuis 03.2021 Formations [vba, python et web(html,css,js,php, design de BD(mysql), wordpress)]  pour le compte du CPF Création de sites web(e-commerce principalement).", vba excel dashboards python web html css js php mysql reseaux/networking os  windows - linux bashing - powershell telephonie ip - ipbx, Niveau d'études : Bac+5 et plus Ingénieur d’état Systemes Informatiques et Reseaux KNURE  (Universite de Kharkiv de Radio Electronique) 09.2002 - 09.2008 Ingenieur d'etat en systemes informatiques et Reseaux,, Anglais Bon niveau Français Courant Russe Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : Mohammedia Types de contrats acceptés : Freelance - Temps partiel
" Informatique, nouvelles technologies Métiers de la santé et du social R&D, gestion de projets"," Expérience dans les secteurs d´activité suivants : Automobile, matériels de transport, réparation Conseil, audit, comptabilité Industrie, production, fabrication, autres Ingénierie, études développement Maintenance, entretien, service après vente non renseigné"," Langages informatiques: Python, Java, Dart Frameworks: Laravel, Spring Boot, Angular, React, Flutter, .Net Conceptions des API/REST Sécurité des Applications et des Données Langages informatiques: Python, R Business Intelligence: Power BI (création de tableaux interactifs) Base de données: MySQL, PostgreSQL Machine learning: Modèles de prédiction", Niveau d'études : Bac+5 et plus informatique et management des systemes esith 09.2021 - 07.2024 La filière IMS est une filière à double compétences : Informatique industrielle et Management des systèmes industriels de production, informatique Analyse Industrielle Consulting, Anglais Intermédiaire Espagnol Débutant Français Courant, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma Lieu de résidence : Rabat Types de contrats acceptés : CDI - Freelance
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet non renseigné"," ReactJS,NextJs,Vuejs ,Expressjs , Nodejs, Redux, HTML, CSS ,Bootstrap , Tailwind CSS,JQuery , Laravel ,MongoDB ,Figma ,Git/GitHub ,SonarQube,JavaScript,Typescript, Python ,PHP ,JAVA , SQL , NoSQL ."," Niveau d'études : Bac+2 Technicien Spécialisé, Développement Full Stack Ofppt -skhirat 09.2022 - 07.2024",, Anglais Courant Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra - International Lieu de résidence : Sale Types de contrats acceptés : CDI - CDD - Freelance - Temps partiel
" Informatique, nouvelles technologies Métiers de la santé et du social Secrétariat, assistanat"," Expérience dans les secteurs d´activité suivants : Activités associatives Administration publique Informatique, SSII, Internet Intérim, recrutement Évènementiel, hôte(sse), accueil Chargée système vidéo_surveillance Centrale thermique SAFIEC 06.2022 - 01.2024 Assurer le stockage et la sauvegarde des images et les informations de la vidéosurveillance Détecter les événements anormaux et informer le responsable Hôtesse de Caisse Marjane Casablanca 01.2022 - 05.2022 Accueil chaleureux et courtois des clients à la caisse, en fournissant des informations sur les promotions en cours et en répondant à leurs questions avec professionnalisme. Collaboration avec les autres membres de l'équipe pour assurer un flux de clients fluide et efficac Opératrice système vidéo_surveillance Marjane Casablanca 09.2021 - 01.2022 Opérer les cameras vidéosurveillance Signaler les anomalies détectées au superviseur Rédiger des rapports Chargée de clientèle Parapharmacie safi 03.2021 - 09.2021 Conseiller les clients sur les produits et leurs utilisations, en appliquant mes connaissances en premiers secours et soins de santé Maintenir un inventaire précis des produits en stock Stage Technicien réseaux informatique Ocp safi 02.2020 - 02.2020 Participer à la résolution des problèmes techniques rencontrés par les utilisateurs Assister l'équipe informatique dans la maintenance des systèmes et des réseaux"," Bonne connaissance des produits et environnements d'exploitation Lecture et interprétation de plans et de schémas Sens pratique et de l'organisation Efficacité à communiquer avec son environnement de travail direct, les clients ou les fournisseurs"," Niveau d'études : Bac+2 Diplôme technicien spécialisé réseaux informatiques Ista ntic safi 09.2019 - 09.2020 Diplôme techniques de réseaux informatiques Certificat Cisco Ntic safi 09.2020 - 10.2020 Certificat : Ccna 1, ccna 2, ccna 3, ccna 4, Ite, ccna security", Administration Assistanat Santé Vidéo Surveillance Chargée superviseur assistante, Anglais Débutant Arabe Maternelle Français Intermédiaire, Disponibilité : immédiatement Mobilité géographique : Agadir - Casablanca-Mohammedia - Marrakech-Safi - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma Lieu de résidence : Safi Types de contrats acceptés : CDI - CDD - Intérim - Alternance - Temps partiel - Statutaire
" Informatique, nouvelles technologies Production, maintenance, qualité"," Expérience dans les secteurs d´activité suivants : Automobile, matériels de transport, réparation Industrie, production, fabrication, autres Ingénierie, études développement Qualité, méthodes L’observation de procédé de fabrication des carreaux céramiques SUPER CÉRAM 07.2019 - 07.2019 - le suivie de processus de fabrication Conception d’un prototype du distributeur BUREAU D'ÉTUDE (RAMAQS CONSULTING & SOLUTIONS) 06.2022 - 08.2022 - Conception d’un prototype du distributeur sur Catia v5 en 2d et 3d Optimisation de la consommation de pièces de rechanges APTIV PACKARD KENITRA 02.2023 - 07.2023 - Application de la méthode QQOQCP pour analyser le problème - Modélisation du processus métier par le diagramme SIPOC - Visualisation et analyse des données avec Power BI - Diagramme d'Ishikawa pour identifier les causes potentielles - Évaluation des défaillances par la méthode AMDEC - Solution de remplacement/revêtement des pièces Planification de projet sur primavera pp6 AIC METALLURGIE KENITRA 09.2023 - 11.2023 - Création, Suivi et mise à jour du projet - Définition de la structure du projet et Attribution des ressources - Définition des dépendances et Estimation des durées - Affectation des calendriers et Définition des jalons - Gestion des contraintes et des changements - Optimisation du plan et Création des rapports et des graphiques - Gestion de plusieurs projets Réalisation d’une application basée sur VBA & Python pour la gestion de la production LEAR CORPORATION Depuis 02.2025"," COMPÉTENCES PERSONNELLES : - Réactive - Détection des problèmes - Gestion de temps - Travail d’équipe - Capacité d’adaptation - Esprit analytique COMPÉTENCES INDUSTRIELLES : - Outils de Six Sigma : Pareto, 5M, VSM, SIPOC - Méthodes de résolution de problème : DMAIC, PDCA - Outils de Lean manufacturing : Kanban, 5S, VSM - Chaine logistique : Gestion de stock. - Management du projet. - Planification et ordonnancement - Méthodologie de pilotage de projets : APQP - Connaissance sur les normes qualité: ISO 9001:2015"," Niveau d'études : Bac+5 et plus Baccalauréat en Sciences et Technologies Électriques Lycée Technique Ibn Sina Kénitra 09.2017 - 06.2018 Diplôme universitaire de technologie, spécialité Informatique industrielle et systèmes automatisés Ecole supérieure de technologies Kénitra (ESTK) 09.2018 - 06.2020 Licence fondamentale en sciences de la matière physique Faculté des sciences Kenitra (FSK) 09.2020 - 06.2021 Master en Industrie intelligente et technologie numérique Ecole nationale des sciences appliquées Kenitra (ENSAK) 09.2021 - 07.2023", - Microsoft Of ice - Power BI - SQL Server MYSQL - Python C++ VBA - ERP /SAP (MM/PP) - Autodesk Fusion 360 Catia v5 - Primavera pp6 MS Project - ML/DL - IOT, Anglais Bon niveau Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Agadir - Casablanca-Mohammedia - Fès - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra Lieu de résidence : Kenitra Types de contrats acceptés : CDI - CDD
" Informatique, nouvelles technologies Marketing, communication Métiers des services"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Marketing, communication, médias Développeur web et web design Majjane 08.2019 - 12.2019 · J'ai suivi une formation en design d'interface (UI/UX) pour le web. · Je me suis orienter vers le développement web en tant que développeur full stack, ce qui m'a conduit à acquérir des compétences et une expertise à la fois dans le développement du front-end et du back-end des applications web. Développeur web Uniontech 04.2020 - 11.2021 Collaboration à la mise en place d'un site e-commerce spécialisé dans la vente d'équipements informatiques. Développeur web et SEO Clinique Ibn Khaldoun 08.2020 - 11.2021 · Création complète d'un site web en utilisant WordPress en tant que développeur full-stack. · Optimisation du référencement pour améliorer le classement SEO du site web. Riad al bahi Développeur web 03.2020 - 01.2023 · Conception et développement d'un site web pour un établissement hôtelier. · Gestion du marketing en ligne. Développeur web Camitc 06.2021 - 03.2023 Conception d'un site web dédié aux études et à l'immigration au Canada. Développeur web Adara360 10.2023 - 03.2024 · Conception de sites web dans le domaine de la réalité virtuelle (VR). · Gestion complète du projet VR, incluant l'utilisation de techniques de drag & drop du VR pour créer des animations interactives. Développeur web Soo-bin Depuis 05.2021 Création d'un site web pour un hôtel et gestion de compte Google My Business. Développeur web Anzan Depuis 07.2019 · Résolution des problèmes technique du site. · Sécurisation contre les attaques. · Conception de site web axés sur la conception graphique.", Html; CSS; JavaScript; PHP," Niveau d'études : Bac+3 Management PIIMT 09.2009 - 06.2013 Diplômé en management avec un Bac+3 américain (Bachelor of business administration ) spécialisé en marketing, e.commerce en finance. Je me suis consacré également à  l'informatique sans faire d'études dans ce domaine, aussi dans le Web designer et le marketing.  Maintenant je me focalise sur le marketing digital et dans la création de sites Web. Stage on développeur web JLA Studio 08.2015 - 11.2015 · Stage axé sur l'utilisation de logiciels de conception, mise en place et gestion de sites web avec WordPress. · Maîtrise du protocole FTP pour le transfert de fichiers vers des serveurs d'hébergement. · Optimisation du référencement (SEO) et des Meta tags. Service marketing Studio Zen 09.2014 - 01.2015 Marketing par téléphone (convaincre les clients pour acheter les meubles proposés par Studio Zen). Marketing Marketing Digital WORDPRESS SEO HTML CSS PHP JAVASCRIPT JQUERY BOOTSTRAP", Communication Design, Anglais Courant Arabe Intermédiaire Français Maternelle, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Freelance
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Ingénierie, études développement Agent Back office Bell Canada Sitel Depuis 02.2016 Traiter les demandes clients et résoudre les anomalies systèmes, Traitement des mails reçu de la part des clients, Conseiller Clientèle à SFR technique webhelp 12.2014 - 02.2016 Fournir un support technique de qualité Traiter les problèmes et les questions des clients par le biais du téléphone, assurez et maintenez un niveau élevé de satisfaction client Stage de formation (B.Aérospace) Casablanca 09.2014 - 12.2014 Missions : création de plusieurs sites en PHP, Stage mission (PROPIXEL) Rabat 03.2014 - 05.2014 Missions : création de plusieurs sites en PHP,"," Bases de Données SQL Server, Oracle, MySQL Développement web: Javascript, jQuery, symfony, PHP, HTML CSS, Mysql Autres : Java/J2EE,  C/C++, Android Outils: Visual Studio, Eclipse systeme d'information: UML, Merise, PROJET REALISE Projet De Fin D’étude : Conception Et Réalisation D'une Application De Gestion Du Trafic Aérien (Java Interface JEE) Projet stage : réalisation de site web avec Joomla Formation :formation Symfony /php", Niveau d'études : Bac+5 et plus MASTER spécialisé en ingénierie développement informatique Université Mohammed V- Rabat (Master continue ) 01.2015 - 01.2017 LICENCE en sciences Mathématiques et informatiques (Génie logiciel) Université Mohammed V- Rabat 09.2012 - 02.2014 DEUG en sciences Mathématiques et informatiques Université Mohammed V-Rabat 09.2009 - 06.2012 Baccalauréat en science de la vie et de la terre Lycée Madariss al hassania Rabat 09.2007 - 06.2008, ANDROID CSS ECLIPSE HTML J2EE JAVA JAVASCRIPT JOOMLA JQUERY MERISE MYSQL ORACLE SQL SYMFONY UML, Anglais Débutant Arabe Maternelle Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Agadir - Casablanca-Mohammedia - Fès - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Temara Types de contrats acceptés : CDI - CDD - Intérim - Stage - Freelance - Alternance - Temps partiel - Statutaire
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet non renseigné", Spring boot- ASP.NET Core - Symfony - Django Spring cloud - Spring security -- Angular - Java - C# - JavaScript - PHP - Python - Agile (scrum) - Github - Git - MySQL - Sql Server - Oracle," Niveau d'études : Bac+5 et plus Ingénierie Informatique et Réseaux École Marocaine des Sciences de l'Ingénieur Depuis 10.2022 Méthodes Informatiques Appliquées à la Gestion des Entreprises Faculté des sciences juridiques, économiques et sociales d'Ain Sebâa 09.2021 - 06.2022", Formation en Informatique, Arabe Maternelle Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : Casablanca Types de contrats acceptés : Stage
